"BehaviorSpace results (NetLogo 5.2.0)"
"marcs.nlogo"
"testa3"
"03/03/2559 16:40:05:756 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","workers-probability","number-workers","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","[step]","sum-correctness / floor(ticks / update-ticks)"
"133","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"134","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"135","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"136","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"137","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"139","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"140","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"141","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"142","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"143","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"138","53","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"144","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"145","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"146","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"147","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"149","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"148","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"150","54","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"152","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"153","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"151","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"154","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"155","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"157","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"156","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"158","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"159","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"160","55","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"163","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"162","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"164","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"165","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"166","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"161","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"167","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"168","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"169","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"170","56","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"171","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"172","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"173","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"176","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"175","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"174","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"177","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"178","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"179","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"180","57","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"181","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"182","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"183","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"185","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"186","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"184","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"187","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"188","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"189","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"190","58","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"191","59","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"192","59","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"193","59","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
"195","59","100","100","""3. perfect""","""normal""","1","1","""2 Levels""","""Majority Voting""","""Soft Penalty""","false","10","false","1441","0"
